use#v#1161188,उपयोग करना, इस्तेमाल करना
make#v#2566500,किया
color#n#4963771,रंग
wood#n#15122728,लकड़ी
situate#v#2700775,स्थित
fish#n#2514684,मछली
system#n#4384144,प्रणाली
word#n#6297048,शब्द
white#a#394166,सफ़ेद
skin#n#4237155,छिलका
degree#n#5101152,मात्रा
piece#n#3938441,भाग
component#n#5877576,अंश,भाग,टुकडा,२. अवयव
condition#n#6768279,शर्त
food#n#21445,अन्न
type_genus#n#8126906,वंश
measure#n#33914,मात्रा
stalk#n#13149924,तना
North_America#n#9395415,उत्तर अमेरिका
seashore#n#9451197,किनारा
native#n#9643964,मूल निवासी
devising#n#925809,निर्माण
consequence#n#11430739,फल,परिणाम,अंत,२. प्रभाव,पदवी,मान,महत्व,पद,३. इस कारण से,इसलिए
material#n#14604877,पदार्थ
inhabitant#n#9643248,निवासी
fabric#n#3314753,कपड़ा
activity#n#408356,कार्यकलाप
play#v#1075360,खेल करना,खेल खेलना,२. नकल करना,अभिनय करना,स्वांग करना,३. हंसी करना,चिढाना,४. बजाना
river#n#9434308,नदी
note#v#1022014,ध्यान देना
purpose#n#5991037,प्रयोजन
wear#v#52091,पहनना
England#n#8891234,इंगलैंड
term#n#6314878,पारिभाषिक शब्द
blood#n#5407190,खून
woman#n#10807146,महिला
direction#n#8697710,तरफ़
indicate#v#925764,बताना,दिखाना,प्रकट करना
time_period#n#15137796,काल
treat#v#2519853,व्यवहार करना
base#n#2801449,अड्डा
perform#v#2379855,करना
high#a#1213526,उच्च
India#n#8920762,भारत
game#n#456623,खेल
work#n#4606723,निर्माण
Mexico#n#8758708,मेक्सिको
express#v#945869,निचोडना,२. बतलाना,वर्णन करना,प्रकट करना
disease#n#14093842,रोग
action#n#38116,कार्रवाई
information#n#6646883,जानकारी
object#n#2684,वस्तु
force#n#11479041,बल
value#n#5864972,मूल्य
certain#a#336319,पक्का
series#n#8474987,सिलसिला
California#n#9083238,कैलिफ़ोर्निया
cell#n#2995166,कोशिका
establish#v#638550,आधारित होना
hair#n#5262259,बाल
mass#n#5031420, वस्तुमान
create#v#1757596,बनाना
writer#n#10813654,लेखक
equal#a#893124,समान
result#v#2640346,परिणाम
derive#v#2297086,प्राप्त करना
expression#n#4687095,उच्चारण,वाक्यरीति,प्रकाशन,ढंग,वचन,उक्ति,पद
margin#n#13926393,सीमा
divide#v#2473085,भाग करना,बांटना,काटना,अलग करना,२. भाग देना
tissue#n#5274844,ऊतक
evolve#v#1742478,विकसित करना
France#n#8949695,फ्रांस
space#n#13933399,जगह
motion#n#332776,हलचल
thing#n#13967020,बात
Europe#n#9298379,यूरोप
transport#v#1452567,ले जाना,उठा ले जाना,देशांतर करना,२. हर्षोन्मत्त करना,अचेत करना
foot#n#13671663,फूट
power#n#11473433,बल
life#n#13986528,जीवन
bird#n#1505702,चिडिया,पक्षी
screening#n#6901395,प्रदर्शनी
fag_end#n#15293196,अंतिम भाग
arm#n#2740838,भुजा
layer#n#8609236,स्तर
run#v#2691775,चलाना,जारी रखना,दौडाना,२. जोखिम उठाना,जोखिम में डालना,३. गलाना,४. महसूली माल चुराकर ले जाना,५. ढालना
mountain#n#9382700,पर्वत
capital#n#13375435,मूलधन
democracy#n#8378256,गणतंत्र
common#a#494722,सार्वजनिक
liquid#n#14964524,द्रव
shape#n#28005,आकार
assortment#n#8415730,विविधता
species#n#8127339,उपजाति
configuration#n#5739724,समूह
bunch#n#7976557,समूह
order#n#5098520,परिमाण
change#v#126072,परिवर्तन करना,बदलना,पलटना,भुनना
write#v#995046,लिखना,रचना,बनाना,छापना,मुद्रित करना,टांकना
fern#n#11566165,एक तरह का पौधा,एक प्रकार का वृक्ष
metallic_element#n#14649636,धातु
seed#n#11704458,बीज
establish#v#1650771,नींव डालना,खडा करना,ठहराना,स्थापित करना,जमाना,२. प्रमाणित करना
site#n#8668822,स्थल
living#a#2766901,जीवित
kind#n#5847533,प्रकार
eye#n#5622259,आंख,नेत्र,लोचन,२. विचार,३. लक्ष्य,४. उपस्थिति,५. ध्यान,६. निशाना,७ॅआंद,८ऽंकुर,९ॅहेद,१०ंआका
grass#n#12122650,घास
apply#v#2682599,लगाना,रखना,२. संप्रयोजित करना,प्रयोग करना
serve#v#2676679,सेवा करना
universe#n#9489410,दुनिया
feeling#n#26390,भावना
distance#n#5091408,अन्तर
Asia#n#9230176,एशिया
know#v#596016,परिचित होना
development#n#251126,विकास
hotness#n#5023355,ऊष्मा
device#n#3187746,साधन
ship#n#4201332,जहाज
typify#v#837915,चिह्न से प्रकट करना,२. नमूना या आदर्श होना
rock#n#9438954,चट्टान,टीला,पहाड,२. आड,रक्षा-स्थान,आश्रय
exploitation#n#419916,प्रयोग करना
land#n#9357302,जमीन
God#n#9559169,ईश्वर
construct#v#1658171,बनाना,रचना,सजाना,निर्माण करना,जोडना,एकत्र करना
coating#n#3062092,आवरण
postdate#v#2718647,अनुसरण करना
fill#v#453467,पूरा करना,भरना,अथाना,नकशा पूरा करना,२. ढेर लगाना,३. पिलाना,४. ढालना,उंडेलना
event#n#29677,घटना,२. वृत्तांत,३. फल
case#n#7323507,खोल,डिबिया,गिलाफ,पेटी,२. केस,खानेदार ढांचा,३. दशा,स्थिति,मामला,बात,विषय,४. विभक्ति,५. अभियोग,मुकदमा,नालिश
set#n#8013131,समूह
boundary#n#13926085,किनारा
light#n#11494354,प्रकाश
attach#v#1292858,नत्थी करना,मिलाना,जोडना,मित्रता में बांधना,अपनाना,२. कुर्क करना
short#a#1445077,अल्पकालीन
wing#n#4600068,पंख,पर,डैना,२. उडान,३. मकान की बगल या परा,पाख
money#n#13405730, चलन
ball#n#2781674,गेंद
orchid#n#12061915,ऑर्किड
wall#n#4554141,दीवार,भीत,पनाह,मोर्चा,बंदी
merchandise#n#3754377,माल,असबाब,व्यापारी की वस्तुएं
Earth#n#9293800,पृथ्वी
United_States#n#9067337,अमेरिका
monetary_unit#n#13625961,मौद्रिक इकाई
bring#v#1441539,ले आना,लाना,ले जाना,पेश करना
causing#n#43049,कारण
fictional_character#n#9610740,चरित्र
matter#n#5679169,पदार्थ,वस्तु,सत,मतलब,२. मवाद,पीब,३. विषय,मामला,बात
southern#a#1609663,दक्षिणी
ask#v#757790,पूछना,चाहना,प्रश्न करना,मांगना,प्रार्थना करना
hole#n#9327371,छिद्र,छेद,बिल,कन्दरा,गुहा
party#n#8273889,पञ्चायत,समाज,दल,२. फौज का भाग,३. साझी,४. फरीक मुकदमा
bearing#a#218889,धारक
control#v#2445887,रोकना,दबाना,वशी करना,२. वश में रखना,अधीन करना
change#n#13881240,परिवर्तन,रूपान्तर,२. छोटे सिक्के,रेजगारी
Australia#n#8849996,ऑस्ट्रेलिया
like#a#1412553,सदृश,समान,बराबर,एक सा
China#n#8740839,चीन
compound#n#5878802,समास,मेल,मिश्रण,२. आंगन,हाता,घेरा,३. मिला हुआ,यौगिक,मिश्र,संयुक्त,मिश्रित
land#n#9358146,जमीन
hand#n#5572223,हाथ,हस्त,२. घडी की सुई,३. काम करने वाला,४. ओर,पक्ष,५. सुलेख,लिखावट,६. अधिकार,वश,
flesh#n#5275611,मांस
class#n#8014145,कक्षा,दर्जा,२. पद,श्रेणी,पंक्ति,प्रकार,वर्ण,वर्ग,भाग,नाम
lack#n#14472871,कमी,आवश्यकता,अभाव,हीनता,शून्यता
book#n#6422547,पुस्तक,किताब,पोथी,ग्रंथ
cut#v#1555301,काटना
building#n#2916498,स्थापना करना
idea#n#5842164,विचार,भाव,मत,ख्याल,समझ,कल्पना,राय,ज्ञान,ध्यान
protect#v#1132136,रक्षा करना,बचाना,आश्रय देना,शरण देना,सहायता करना
study#n#5763880,अध्ययन
air#n#14865437,हवा
together#r#510460,एक साथ
spread#v#1381221,फैलाना,फैलना,बडाना,बिछाना,तानना,खोलना,२. प्रसिद्ध करना,प्रकट होना,फैलना
sake#n#5150324,कारण,प्रयोजन,खातिर,लिहाज,लिए
son#n#10643436,बेटा
behavior#n#1223473,व्यवहार
size#n#5106204,आकार
add#v#1029183,जोडना,बढाना,मिलाना,लगाना,और कुछ कहना
pull#v#1450719,खींचना,घसीटना,तोडना,फाडना
organization#n#8024893,संगठन
incorporate#v#2635616,शामिल करना,जत्था बांधना,इकठ्ठा करना,मिलाना
arrange#v#1023638,प्रबन्ध करना,क्रम से लगाना
degree#n#13962925,अवस्था
range#n#8646496,सीमा
airplane#n#2694015,वायुयान
organ#n#5305022,साधन,उपकरण,२. इन्द्रीय,अवयव,अंग,३. आर्गन बाजा
government#n#8067430,सरकार
function#n#13806028,प्रकार्य,काम,चाकरी,अधिकार,पदवी,कार्य
name#n#6344646,नाम
serviceman#n#10602198,सैनिक
cover#v#1035399,आच्छादित करना,ढांकना,२. छिपना,परदा डालना,३. अंडे सेना,४. सुरक्षित करना,५. पर्याप्त होना,यथेष्ट आना,बस होना
leg#n#5568420,टांग,पैर,पाया
resident#n#10543112,निवासी,रहने वाला,२. रेजिडण्ट
child#n#9937051,सन्तान,बालक,बाल,बालिका,बच्चा
location#n#27365,स्थान
individual#a#495505,अकेला,एक,एक संबन्धी,व्यक्तिगत,वैयक्तिक
reduce#v#243282,पद घटाना,उतार देना,कम करना,२. जीतना
control#n#13849418,नियंत्रण
learn#v#600349,जानना,सीखना,पढना,२. सिखाना
affect#v#137133,प्रभाव डालना,असर करना,२. व्यापना,चुभना,दिल पर लगना,दिल पिघलाना,३. चाहना,प्यार करना,४. रूप दिखाना,बहाना करना,रूप धारण करना,बनाना
first#a#1014459,प्रथम
sea#n#9449666,समुद्र,सागर,महासागर,२. समुद्र की लहर
enter#v#1084999,घुसाना,२. भरती करना,३. लिखना,टांकना,चढा देना
only#r#11221,केवल
absorb#v#601765,सोखना,निगल जाना,पी लेना,ग्रास करना,२. लवलीन करना,पूर्ण रूप से ना,चित्त आकर्षित करना
inflammation#n#14359944,सूजन
increase#v#156409,बढा करना,बढाना
bone#n#5277400,हड्डी,अस्थि
length#n#5136466,लंबाई
port#n#8651532,बन्दरगाह
vein#n#7103814,शिरा,रग,नस,नाडी,२. छेद,छिद्र,३. स्वभाव,प्रवृत्ति,४. सिलसिला,गति
service#n#578562,सेवा,टहल,नौकरी,काम,पद,२. आराधना,पूजा,३. जहाजी नौकरी,४. लाभ,फायदा ,५. मेज पर रिकाबियो की तरतीब
drug#n#3252323,दवा
organism#n#4475,ऐन्द्रिक रचना,बनावट,२. जीवधारी
gas#n#14504664,गैस,वायु,हवा,२. गैस
separate#v#2627934,mAzga
like#a#1413922,समान
mineral#n#14686753,धातु,खनिज पदार्थ
low#a#1215141,नीचा,धीमा,दबा हुआ,दलित,कमीना,निम्न श्रेणी का,गहरा,निर्धन,कंगाल,गरीब
American#a#2938825,अमेरिकी
breed#n#8118376,कुल,वंश,झोल,
show#v#2153218,दिखलाना,जाहिर करना,प्रकाश करना,बतलाना,राह बतलाना ना,२. प्रकाशित करना,दिखाई देना,प्रकट होना,देखना
naturalize#v#941788,देशीयकृत
South_America#n#9463304,साउथ अमेरिका
insect#n#2162607,कीडामकोडा,२. बहुत तुच्छ वस्तु
couple#n#13765745,जोडा,युगल,२. दम्पति
duty#n#1132241,कर्तव्य,२. चुंगी,कर
Soviet_Union#n#9025654,रूस
muscle#n#5296796,मांस पेशी,स्नायु,पुठ्ठा,२. घोंघा,सीपी,एक मछली
colony#n#8390976,नयी बस्ती,नया प्रदेश,उपनिवेश
horse#n#2377103,घोडा,अश्व,तुरग,२. रिसाला,सवार
Canada#n#8837973,कनाडा
turn#v#1911251,घुमना,घुमाना,बदलना,पलटना,मोडना,बागी होना,सिर घूमना,दिल फेरना,दूसरी ओर झुकना
flow#v#2070438,बहना,पिघलना,ढलकना
western#a#828657,पश्चिमी
mixture#n#14610438,मिश्रण
course#n#886144,पाठ्यक्रम
pain#n#14346126,पीडा,दर्द,दुःख,संताप,२. दण्ड,जुरमाना
round#a#2048059,गोल,गोलाकार,वृत्ताकार
neck#n#9390630,संकीर्ण
pay#v#2256551,चुकाना,ऋण भर देना,बदला देना,उजरत देना,वेतन देना,सजा देना,२. लाभकर होना,उचित होना
gesture#n#6889359,भाव,चेष्टा,संकेत
top#n#8681598,ऊपर का हिस्सा
right#n#5182180,अधिकार,स्वत्व,२. न्यायोचित वस्तु,उचित अधिकार,नीति,३. दक्षिण पक्ष,४. ऊपरी धरातल
Africa#n#9212308,अफ़्रीका
raceme#n#13153245,
atom#n#14609699,परमाणु
district#n#8569713,जिला,मंडल
support#v#2561834,सहारा देना,सम्भालना,उठाना,पालना,रक्षा करना,२. दया करना,सहायता करना,३. समर्थन करना
weight#n#4578578,तौल,भारीपन,बोझ,२. मान,महत्त्व,३. भर,दबाव,४. बाट
type#n#5848697,छाप,ठप्पा,चिह्न,२. नमूना,३. छापे के अक्षर,मुद्राक्षर,४. प्रकार,जाति,वर्ग
Germany#n#8784821,जर्मनी
defeated#a#698057,पराजित
thin#a#991420,पतला,झीम,दुबला,बारीक,महीन
plan#v#1641910,ढांचा डालना,नक्षा बनाना,उपाय करना,बन्दिश करना
law#n#8458195,नियम,कानून,व्यवस्था विधान,सिद्धांत,दस्तूर
lake#n#9351810,झील,ताल,२. गुलाबी रंग
measurement#n#998911,नाप,माप,पैमाइश,प्रमाण,तौल
growing#a#3082307,बढ़ता हुआ
perennial#a#681740,बारहमासी
sell#v#2247246,बेचना,बिक्री करना,व्यापार करना
room#n#4112987,कमरा,२. फैलाव,जगह,स्थान
hard#a#1154418,कठिन
death#n#7370091,मृत्यु,मरण
formation#n#8443418,बनावट,रचना,सृष्टि,२. उत्पत्ति
king#n#10251212,
destroy#v#1566925,ढा देना,नष्ट करना,नाश करना,उजाडना,मिटा देना,वध करना
battle#n#955670,लडाई,युद्ध
division#n#8230126,बांटना,बटवारा,२. भागगणित में
analyze#v#646245,
convert#v#381684,धर्मपरिवर्तन करना,पलटना,बदलना,अपनाना,मत या धर्म पलटना
retention#n#812259,रोक रखने का कार्य,२. रोक रखने की शक्ति,३. समाई,४. स्मृति,याददाश्त,५. रखवाली
collection#n#7968050,एकत्रित करना,२. समूह,संग्रह,३. चंदा
vine#n#13121436,द्राक्षा,अंगूर की बेल
appearance#n#4681322,उपस्थिति,रूप,उदय,दिखावट,२. सम्भावना,अनुमान
practice#n#411260,दस्तूर,चलन,व्यवहार,अभ्यास,आदत,२. हुनर,काम,चालाकी
prevent#v#2455370,रोकना,बरजना,निषेध करना,२. आगे जाना
production#n#914791,उत्पत्ति,उत्पादन,२. फल,उपज,पैदावार,३. ग्रन्थ रचना,४. विस्तार,बढाव
introduce#v#1645979,लाना,पेश करना,मिलाना,प्रवेश करना,२. जान पहचान कराना,परिचय देना,३. चलाना,प्रचार करना,४. उत्पन्न करना,आरम्भ करना
brain#n#5488747,मस्तिष्क,२. समझ,बुद्धि
supply#v#2332196,भरना,पूरा करना,देना,जुटाना
passage#n#201907,गमन,रास्ता,निकास,प्रचलन,२. वाक्य,३. जलयात्रा,४. उतराई
office#n#3847186,नौकरी,पदवी,पद,काम,अधिकार,२. दफ्तर,३. शागिर्द पेशा
feature#n#5858316,रूप,आकृति,मुखाकृति,२. लक्षण,चिह्न
compose#v#1709353,बनाना,२. लिखना,रचना,३. अक्षर जोडना,४. धैर्य धारण करना,ढाढस बंधाना,५. सुर निकालना,६. धीरज धरना,शान्ति देना
Japan#n#8940154,जापान
intend#v#711208,नियत रखना,इरादा करना,मनोरथ रखना,विचार करना
categorization#n#1014654,
container#n#3099154,
appear#v#423043,दिखलाई पडना,देख पडना,उपस्थित होना,२. जान पडना
oil#n#14991055,तेल,रोगन
hit#v#1407698,मारना,टकराना,लग जाना
assume#v#2386868,मान लेना,कल्पना करना,ग्रहण करना,अपने ऊपर लेना,रूप बनाना,बहाना करना
relation#n#32220,वर्णन,बयान,२. नातेदार,रिश्तेदार,सम्बन्धी जन
culture#n#5759791,संस्कृति,सुधार,उन्नति,सभ्यता,शिष्टता
French#a#2969938,फ्रांसीसी,फ़्राँसीसी,फ़्राँसीसी,फ़्रांसीसी,फ़्रांसीसी,फ़्रान्सीसी,फ़्रान्सीसी
shell#n#14782715,छिलका,खोल,घोंघा,मोहरा,२. बम का गोला,३. ताबूत,ठठरी
molecule#n#14706294,अणुकणिका,कण
mammal#n#1864419,स्तनपायी,वह पशु जो अपने बच्चे को दूध पिलाते हैं
raise#v#158311,ऊपर उठाना,ऊंचा करना,बढाना,२. उकसाना,उभाडना,३. मुरदे को जिलाना,४. उडाना,खडा करना,५. बटोरना,पैदा करना,उपजाना,६. फुलाना,फैलाना,७.खमीर उठाना
religion#n#5955536,ईश्वर भक्ति,मजहब,धर्म,पंथ,मत,२. पवित्रता,धर्मनिष्ठता,भक्ति
doctrine#n#5952149,मत,सिद्धांत
soil#n#14868863,मिट्टी,चिकनी मिट्टी,भूमि,धरती,२. खाद,३. कीचड,गंदगी
Italy#n#8819530,इटली
belonging#n#7545205,
vehicle#n#4531608,सवारी,डोली,पालकी,गाडी,विमान
Spain#n#9045691,स्पेन
energy#n#11472635,ऊर्जा
presence#n#13980887,उपस्थिति,हाजिरी,विद्यमानता,२. निकटता,समीपता,३. सामना,४. आकृति,ढंग,४. तैयारी
bacteria#n#1351171,जीवाणु
court#n#8346380,राजमंदिर,दरबार,राजगृह,२. दरबारी लोग,राजा आदि के साथ रहने वाले मनुष्य नौकर इत्यादि,राजसभा,३. कचहरी,विचार स्थान,न्यायालय,अदालत,४. जज लोग,न्यायाधीश,५. आंगन,दरबार,६. आदर,मान
letter#n#6636668,अक्षर,वर्ण,२. पत्र,संदेशपत्र,चिठ्ठी,३. छापे का अक्षर
bottom#n#8528313,तला,पेंदा,सबसे नीचे का भाग,२. आधार,नींव,३. जहाज,४. तलछट,गाद
Florida#n#9094188,फ़्लोरिडा
function#v#1528454,कार,करण
situation#n#13950416,स्थिति,स्थान,ठौर,अवस्था,गत,गौं,पद,ओहदा,पदवी,नौकरी
mouth#n#5309998,मुख,मुंह,मुहाना,द्वार,छेद
cap#n#2958374,टोपी,२. चोटी,३. मुखिया
house#n#3549540,गृह,भवन,घर,महल,२. घराना,वंश,कुल,३. व्यवस्थापक अंग,सभा,४. कोठी,कारखाना
strip#n#9472659,कतरन,धज्जी,पट्टी,खंड,टुकडा
fire#n#989024,आग,जलन,अग्नि,२. उत्साह,जोश,३. क्रोध,४. तोपों की बाढ
tube#n#4500800,नल,नली,चोंगा,टोंटी
wife#n#10800308,पत्नी,बीबी,स्त्री,जोरू
impart#v#2084180,देना,२. सुझाना,प्रकट करना,बतलाना
store#v#2285938,
publish#v#969657,प्रकट करना,प्रसिद्ध करना,फैलाना,२. छाप कर बेंचना,प्रकाशित करना
marker#n#7284884,
European#a#2979870,
fiber#n#14891040,
salt#n#15035270,नमक,लवण,२. स्वाद,३. मजाक,बुद्धि
solution#n#14613403,पिघलाव,विलयन,गलाव,घुलाव,२. समाधान,व्याख्या,३. अलगाव,टूटफूट,अन्तर,४. उत्तर हल करना
scale#n#13837554,पलडा,तराजू,२. सीढी,३. छिलका,परत,४. सुर,५. श्रेणी,६. पपडी,मछली आदि का छिलका
nature#n#4733982,जगत,सृष्टि,स्वभाव,बनावट,प्रकृति,प्रकार,भाव,रूप,रीति,विधि,मायाशक्ति
player#n#10459618,
buttocks#n#5566889,नितम्ब
loss#n#13348698,घाटा,हानि,नुकसान,हार,पराजय
human_body#n#5224424,मानव शरीर
phonograph_record#n#3930191,
Greece#n#8798733,यूनान
fungus#n#13013628,कुकुरमुत्ता,खुम्मी,धरती का फूल
specific#a#1106714,विशेष,२. जातीय भेदक,३. निश्चित
section#n#6403644,
join#v#2439823,संयुक्त करना,मिलाना,जोडना,सांटना,२. मिला रहना,मिलना,सम्मिलित होना,जुडना
pertain#v#2659801,सम्बन्ध रखना,सरोकार रखना,अपना होना
pod#n#13160826,
specify#v#949109,विशेष रूप से या निश्चित रूप से वर्णन करना
fight#v#1093838,लडना,युद्ध करना,युद्ध करा देना
bark#n#13183195,वृक्ष की छाल,२. छोटी नाव,३. भेडिया-लोमडी-कुत्ते आदि के भौंकने की आवाज
field#n#8587527,
exercise#n#896250,परिश्रम,२. अभ्यास,शिक्षा,३. व्यायाम,कसरत
atom#n#14643403,परमाणु
grain#n#9313683,बीज,अन्न,अनाज,दाना,२. अणु,रवा,कण,३. एक बहुत छोटी तोल,एक डेढ रत्ती की तौल
enclose#v#2716988,
crucial#a#658802,आडा,२. कठिन,ठीक,प्रामाणिक,निर्णायक
back#n#5566350,पीठ,पिछवाडा
trait#n#4623416,रेखा,कारीगरी,लक्षण,अंक,विशिष्टता,विलक्षणता
play#n#7032045,खेल,किलोल,दिल्लगी,२. नाटक,३. व्यवहार का ढंग,आचरण
car#n#2961779,मोटरगाडी,पहियागाडी,२. रथ
opening#n#9402023,खोलना,उद्घाटन इत्यादि,२. छिद्र,छेद,३. प्रारंभ,४. अवसर,मौका
fluid#n#14964038,तरल
steering_wheel#n#4320641,
exist#v#2622766,होना,रहना,२. जाना,३. जान रखना
vessel#n#5404676,बासन,बर्तन,२. नाव,जहाज,३. नस,नाडी
work#v#2418610,परिश्रम करना,२. पैदा करना,उत्पन्न करना,३. काम करना,बूटा काढना,४. चलाना,५. प्रबंध करना,६. जोस में लाना,उबालना
business#n#8077878,काम,काज,व्यापार,उद्यम,धंधा,व्यवसाय,रोजगार,२. बात,मामला,३. मतलब,अर्थ,प्रयोजन,४. काम में लगा होना,कार्य में तत्परता
measure#v#648747,नापना,अन्दाज करना
yield#v#2344167,देना,पैदा करना,फल देना,उत्पन्न करना
black#a#393873,काला,श्याम,२. अंधेरा,३. भयंकर,४. उदास,सोगी
pressure#n#11515441,दाब,दबाव,कसाव,२. रंज,दुख,३. प्रभाव,४. आवश्यकता,प्रयोजन
metallic#a#1531539,धातु का,धातु सदृश
adjust#v#150107,ठीक करना,सुधारना,संवारना,सुलझाना,तै करना,चुकाना,मिलाना,२. धरा बांधना
weed#n#13105873,घास फूस,अपतृण,मोथा
soft#a#1457415,कोमल,नर्म,सुकुमार,मुलायम,२. चिकना,३. स्वच्छ,४. धीमा,५. मृदु,मधुर
permit#v#803980,छोडना,दे देना,२. अनुमति देना,आज्ञा देना,अनुज्ञा देना
West#n#8700313,पश्चिम
spot#v#2197640,
covering#n#9280855,
eat#v#1168667,खाना,कुचल के निगलना,खा जाना,चट कर जाना,नष्ट करना
school#n#8293641,पाठशाला,विद्यालय,शिक्षालय,२. पढाई,शिक्षा,३. शिष्य,शिष्यगण,अनुयायी वर्ग,४. सम्प्रदाय,५. पद्वति
infection#n#14198031,उडनी बीमारी,बीमारी की छूत,स्पर्शदोष,खराब करने वाला,दूषण
method#n#5668113,क्रम,ढंग,तौर,विधि,पद्धति,रीति
occupy#v#2654741,अधिकार रखना,लेना,रखना,स्थान लेना,२. भोग करना,प्रयोग करना,३. जगह घेरना
cook#v#1668067,पकाना,भोजन बनाना,रसोई बनाना,२. हेर फेर करना,अपने मतलब का बना लेना,बिगाड देना,झूठा कर देना,अशुद्ध कर देना
painter#n#10411352,चित्रकार,रंगसाज,नक्काश,नकशा खींचने वाला,रंगभरिया,२. नाव बांधने की रस्सी
temperature#n#5018974,तापक्रम,ताप परिमाण,हालत,गर्मी वा सर्दी
accept#v#2240906,मानना,स्वीकार करना,सहमत होना,भाना,सुहाना,२. ग्रहण करना,लेना,पाना,३. सकारना( हुंडी आदि) ना
increase#n#7371276,बढती,बढाव,वृद्धि,२. उत्पत्ति,लाभ
acid#n#14631699,खटाई,अम्ल,तेजाब
conserve#v#2284977,सुरक्षित रखना,बनाए रखना,रक्षा करना,२. अचार डालना,मुरब्बा बनाना,ना
open#a#1656822,खुला,२. स्पष्ट,साफ,३. उदार,दाता,४. निष्कपट,सच्चा,५. सार्वलौकिक,सार्वजनिक
former#a#1051000,पहला,अगला,पहले वर्णन किया हुआ
surround#v#1469999,बाडा लगाना,घेरना,गांसना
capacity#n#5210665,विस्तार,समावेश,समाई,२. शक्ति,सामर्थ्य,योग्यता
Scotland#n#8910324,स्कॉटलैण्ड
agency#n#8354251,कर्तृत्व,गुमाश्तागीरी,प्रतिनिधित्व,आढत,२. साधन,कारण,यन्त्रित्व
berry#n#7758680,अंगूर,aMgUra
see#v#2133754,देखना,दृष्टि करना,अवलोकन करना,२. मालूम करना,समझना,गौर करना,३. मुलाकात करना,भेंट करना,४. चौकसी करना,देख भाल करना
suit#v#2708690,ठीक होना या करना,योग्य होना वा करना,फबना,मिलना,अनुकूल होना,कपडा ना,पहना,मानना
edible#a#832318,खाने योग्य,खाद्य,भोज्य,भक्षणीय
rise#v#1972576,खडा होना,उठना,उठ खडे होना,गिरने पर उठना,२. उछलना,३. उगना,उदय होना,निकलना,दिखाई देना,४. बढना,उन्नति करना,उत्कर्ष होना,अधिक होना,५. महंगा होना,६. जी उठना,७.बर्खास्त होना,विसर्जन होना,८.विद्रोह करना,बलवा करना,९.मन में आना
throw#v#1511000,फेंकना,पासा फेंकना,उछालना,२. उलटना,नाश करना,३. गढना
narrow#a#2572618,संकीर्ण,तंग,संकरा,अविस्तृत,२. अनुदार,३. परिमित,छोटा
disorderliness#n#14522846,
